Secteur,Ville,Boite de vitesses,Type de carburant,Marque,Modele,Nombre de portes,Origine,Premiere main,Puissance fiscale,Etat,log_price (en milliers MAD),Kilometrage lisse (en milliers km),Age (annees)
toute la ville,tit mellil,Manuelle,Diesel,renault,kangoo,5,Importée neuve,False,7,Excellent,4.919980925828125,220.05466213438996,8
agdal,fès,Manuelle,Diesel,volkswagen,tiguan,5,WW au Maroc,True,8,Très bon,5.135798437050262,180.4058315204041,11
route ain chkaf,fès,Manuelle,Diesel,citroen,c4,5,WW au Maroc,True,6,Bon,4.219507705176107,173.32404999814187,20
agdal,fès,Manuelle,Diesel,renault,clio,5,WW au Maroc,False,6,Très bon,4.553876891600541,178.6593615678859,9
toute la ville,sidi slimane,Manuelle,Diesel,renault,kangoo,5,WW au Maroc,False,5,Très bon,4.465908118654584,6.213949074261462,14
massira,rabat,Manuelle,Diesel,fiat,palio,5,Importée neuve,True,6,Bon,3.258096538021482,35.54710520378539,26
Others,safi,Automatique,Diesel,volkswagen,tiguan,5,WW au Maroc,True,8,Excellent,4.90527477843843,221.14184354202192,16
centre ville,casablanca,Manuelle,Essence,mini,cooper,3,WW au Maroc,True,9,Très bon,4.553876891600541,159.89596097678287,12
guéliz,marrakech,Automatique,Diesel,jeep,renegade,5,WW au Maroc,True,6,Excellent,5.147494476813453,131.2633617092483,7
toute la ville,ain aouda,Manuelle,Diesel,renault,scenic,5,WW au Maroc,True,7,Correct,3.713572066704308,2.8278371523150785,24
toute la ville,béni mellal,Manuelle,Diesel,fiat,punto,5,WW au Maroc,True,5,Excellent,4.499809670330265,221.90405000358786,11
aouama gharbia,tanger,Manuelle,Essence,toyota,yaris,5,WW au Maroc,False,4,Très bon,4.74493212836325,31.206097987217838,4
sidi bernoussi,casablanca,Manuelle,Diesel,dacia,dokker,5,WW au Maroc,True,6,Excellent,4.820281565605037,156.91992202079004,5
autre secteur,safi,Manuelle,Essence,peugeot,308,5,WW au Maroc,True,8,Excellent,4.110873864173311,108.79682259481235,17
